ID,Position,Name,Cost,Team,DK,ESPN
1,QB,Tom Brady,11200,TB,23,21.6
2,,,,,,
3,QB,Dak Prescott,10400,DAL,30.33,20.9
4,,,,,,
5,RB,Ezekiel Elliott,9600,DAL,15.65,14.5
6,,,,,,
7,WR,Mike Evans,9200,TB,15.35,15
8,,,,,,
9,WR,Chris Godwin,8600,TB,15.18,13.18
10,,,,,,
11,WR,Amari Cooper,8400,DAL,15.55,15
12,,,,,,
13,WR,CeeDee Lamb,8200,DAL,14.04,14.9
14,,,,,,
15,RB,Leonard Fournette,7000,TB,13.86,9.5
16,,,,,,
17,WR,Michael Gallup,6200,DAL,11.21,12.6
18,,,,,,
19,WR,Antonio Brown,5600,TB,13.67,11.5
20,,,,,,
21,TE,Rob Gronkowski,5400,TB,9.16,7.7
22,,,,,,
23,TE,Blake Jarwin,5200,DAL,2.2,7.3
24,,,,,,
25,RB,Ronald Jones II,5000,TB,12.6,8.6
26,,,,,,
27,DST,Buccaneers,4800,TB,7.6,5.3
28,,,,,,
29,TE,Dalton Schultz,4600,DAL,9.22,5.6
30,,,,,,
31,RB,Tony Pollard,4200,DAL,7.55,6.1
32,,,,,,
33,K,Ryan Succop,4000,TB,9.35,7.8
34,,,,,,
35,K,Greg Zuerlein,3600,DAL,9.56,7.6
36,,,,,,
37,DST,Cowboys,3000,DAL,4.88,3.2
38,,,,,,
39,TE,Cameron Brate,2600,TB,5.87,1.4
40,,,,,,
41,TE,O.J. Howard,2200,TB,9.4,5
42,,,,,,
43,RB,Giovani Bernard,2000,TB,9.94,5
44,,,,,,
45,WR,Scotty Miller,1600,TB,6.53,2.5
46,,,,,,