Position,Name,Cost,Team,DK,ESPN
QB,Tom Brady,11200,TB,23,21.6
QB,Dak Prescott,10400,DAL,30.33,20.9
RB,Ezekiel Elliott,9600,DAL,15.65,14.5
WR,Mike Evans,9200,TB,15.35,15
WR,Chris Godwin,8600,TB,15.18,13.18
WR,Amari Cooper,8400,DAL,15.55,15
WR,CeeDee Lamb,8200,DAL,14.04,14.9
RB,Leonard Fournette,7000,TB,13.86,9.5
WR,Michael Gallup,6200,DAL,11.21,12.6
WR,Antonio Brown,5600,TB,13.67,11.5
TE,Rob Gronkowski,5400,TB,9.16,7.7
TE,Blake Jarwin,5200,DAL,2.2,7.3
RB,Ronald Jones II,5000,TB,12.6,8.6
DST,Buccaneers,4800,TB,7.6,5.3
TE,Dalton Schultz,4600,DAL,9.22,5.6
RB,Tony Pollard,4200,DAL,7.55,6.1
K,Ryan Succop,4000,TB,9.35,7.8
K,Greg Zuerlein,3600,DAL,9.56,7.6
DST,Cowboys,3000,DAL,4.88,3.2
TE,Cameron Brate,2600,TB,5.87,1.4
TE,O.J. Howard,2200,TB,9.4,5
RB,Giovani Bernard,2000,TB,9.94,5
WR,Scotty Miller,1600,TB,6.53,2.5