,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,KingCost
5,QB,Tom Brady (19640069),Tom Brady,19640069,FLEX,12400,TB@PHI 10/14/2021 08:20PM ET,TB,29.26,18600.0
7,QB,Jalen Hurts (19640070),Jalen Hurts,19640070,FLEX,11800,TB@PHI 10/14/2021 08:20PM ET,PHI,26.24,17700.0
10,WR,Mike Evans (19640071),Mike Evans,19640071,FLEX,10200,TB@PHI 10/14/2021 08:20PM ET,TB,19.66,15300.0
12,WR,Chris Godwin (19640072),Chris Godwin,19640072,FLEX,9400,TB@PHI 10/14/2021 08:20PM ET,TB,17.16,14100.0
17,WR,DeVonta Smith (19640073),DeVonta Smith,19640073,FLEX,8800,TB@PHI 10/14/2021 08:20PM ET,PHI,13.28,13200.0
19,WR,Antonio Brown (19640074),Antonio Brown,19640074,FLEX,8200,TB@PHI 10/14/2021 08:20PM ET,TB,19.28,12300.0
20,RB,Leonard Fournette (19640075),Leonard Fournette,19640075,FLEX,7800,TB@PHI 10/14/2021 08:20PM ET,TB,13.36,11700.0
24,TE,Rob Gronkowski (19640076),Rob Gronkowski,19640076,FLEX,7000,TB@PHI 10/14/2021 08:20PM ET,TB,19.47,10500.0
26,RB,Miles Sanders (19640077),Miles Sanders,19640077,FLEX,6600,TB@PHI 10/14/2021 08:20PM ET,PHI,10.1,9900.0
30,QB,Blaine Gabbert (19640078),Blaine Gabbert,19640078,FLEX,6000,TB@PHI 10/14/2021 08:20PM ET,TB,0.62,9000.0
31,QB,Gardner Minshew II (19640079),Gardner Minshew II,19640079,FLEX,6000,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,9000.0
32,QB,Kyle Trask (19640080),Kyle Trask,19640080,FLEX,6000,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,9000.0
33,QB,Joe Flacco (19640081),Joe Flacco,19640081,FLEX,6000,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,9000.0
35,TE,Dallas Goedert (19640082),Dallas Goedert,19640082,FLEX,5600,TB@PHI 10/14/2021 08:20PM ET,PHI,9.72,8400.0
36,RB,Giovani Bernard (19640083),Giovani Bernard,19640083,FLEX,5200,TB@PHI 10/14/2021 08:20PM ET,TB,9.6,7800.0
37,WR,Jalen Reagor (19640084),Jalen Reagor,19640084,FLEX,5000,TB@PHI 10/14/2021 08:20PM ET,PHI,7.64,7500.0
38,TE,Cameron Brate (19640085),Cameron Brate,19640085,FLEX,4800,TB@PHI 10/14/2021 08:20PM ET,TB,3.28,7200.0
40,WR,Quez Watkins (19640086),Quez Watkins,19640086,FLEX,4600,TB@PHI 10/14/2021 08:20PM ET,PHI,8.54,6900.0
41,K,Jake Elliott (19640087),Jake Elliott,19640087,FLEX,4400,TB@PHI 10/14/2021 08:20PM ET,PHI,7.0,6600.0
42,K,Ryan Succop (19640088),Ryan Succop,19640088,FLEX,4200,TB@PHI 10/14/2021 08:20PM ET,TB,8.8,6300.0
43,K,Jose Borregales (19640089),Jose Borregales,19640089,FLEX,4200,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,6300.0
45,DST,Buccaneers  (19640090),Buccaneers ,19640090,FLEX,3800,TB@PHI 10/14/2021 08:20PM ET,TB,7.6,5700.0
47,TE,Zach Ertz (19640091),Zach Ertz,19640091,FLEX,3200,TB@PHI 10/14/2021 08:20PM ET,PHI,7.2,4800.0
48,DST,Eagles  (19640092),Eagles ,19640092,FLEX,2800,TB@PHI 10/14/2021 08:20PM ET,PHI,6.0,4200.0
50,RB,Kenneth Gainwell (19640093),Kenneth Gainwell,19640093,FLEX,2400,TB@PHI 10/14/2021 08:20PM ET,PHI,10.04,3600.0
52,RB,Ronald Jones II (19640094),Ronald Jones II,19640094,FLEX,1800,TB@PHI 10/14/2021 08:20PM ET,TB,3.84,2700.0
54,TE,O.J. Howard (19640095),O.J. Howard,19640095,FLEX,1400,TB@PHI 10/14/2021 08:20PM ET,TB,1.82,2100.0
56,WR,Tyler Johnson (19640096),Tyler Johnson,19640096,FLEX,1000,TB@PHI 10/14/2021 08:20PM ET,TB,3.6,1500.0
58,WR,Greg Ward (19640097),Greg Ward,19640097,FLEX,800,TB@PHI 10/14/2021 08:20PM ET,PHI,3.4,1200.0
59,WR,Jaelon Darden (19640098),Jaelon Darden,19640098,FLEX,600,TB@PHI 10/14/2021 08:20PM ET,TB,1.0,900.0
61,TE,Codey McElroy (19640099),Codey McElroy,19640099,FLEX,400,TB@PHI 10/14/2021 08:20PM ET,TB,0.5,600.0
82,WR,Travis Fulgham (19640105),Travis Fulgham,19640105,FLEX,200,-,MIA,0.0,300.0
83,TE,Nick Eubanks (19640111),Nick Eubanks,19640111,FLEX,200,-,FA,0.0,300.0
84,QB,Ryan Griffin (19640100),Ryan Griffin,19640100,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,300.0
85,RB,Boston Scott (19640101),Boston Scott,19640101,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.5,300.0
86,WR,Travis Jonsen (19640102),Travis Jonsen,19640102,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,300.0
87,TE,Deon Yelder (19640103),Deon Yelder,19640103,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,300.0
88,WR,John Hurst (19640104),John Hurst,19640104,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,300.0
89,RB,Darwin Thompson (19640106),Darwin Thompson,19640106,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,300.0
90,WR,John Hightower (19640107),John Hightower,19640107,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,300.0
91,RB,Jason Huntley (19640108),Jason Huntley,19640108,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,300.0
92,RB,Jordan Howard (19640109),Jordan Howard,19640109,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,300.0
93,WR,KeeSean Johnson (19640110),KeeSean Johnson,19640110,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,300.0
94,WR,Jaydon Mickens (19640112),Jaydon Mickens,19640112,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,300.0
95,WR,JJ Arcega-Whiteside (19640113),JJ Arcega-Whiteside,19640113,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,300.0
96,RB,Ke'Shawn Vaughn (19640114),Ke'Shawn Vaughn,19640114,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,300.0
97,TE,Jack Stoll (19640115),Jack Stoll,19640115,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,300.0
98,WR,Scotty Miller (19640116),Scotty Miller,19640116,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,1.03,300.0
99,WR,Justin Watson (19640117),Justin Watson,19640117,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0.0,300.0
100,TE,Jason Croom (19640118),Jason Croom,19640118,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,300.0
101,TE,Tyree Jackson (19640119),Tyree Jackson,19640119,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.0,300.0
